school,type,ba_status,ba_url,ba_title,ba_note,lang_status,lang_url,lang_title,lang_note,ma_status,ma_url,ma_title,ma_note,lang_src,ma_src,ba_src
건양대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2026_or_older,,,입학안내 페이지는 연도 없는 절차 안내. 국제교육팀 공지 최신 한국어교육 관련은 2026학년도 한국어교육과정 3쿼터 추가모집(2026-07-12). 2027 없음.,2026_or_older,https://kygrad.konyang.ac.kr/,2026학년도 후기 추가 모집 대학원 합격자 발표 (모집안내 PDF 연동),대학원 홈페이지에 2026학년도 후기 추가 모집 진행 중 (모집안내 PDF: 2026-2_prospectus_1.pdf). 외국인 입학은 ipsiweb.kyu.ac.kr로 연동. 2027학년도 자료 미발견. (참고: 입학취업처 ipsi.konyang.ac.kr의 2027학년도 모집요강은 학부 대상),https://interedu.konyang.ac.kr/interedu/sub05_03.do,https://drive.google.com/file/d/1avC9jxGpynqNFCB5n9Cc5SolS1c76Z33/view,https://drive.google.com/file/d/1Qs2mJQscnzevkCpHuW4Qw5SBvSB7wYX_/view
경기대학교,univ,2027_own,https://enter.kyonggi.ac.kr/cms/FR_BBS_CON/BoardView.do?MENU_ID=280&CONTENTS_NO=3&SITE_NO=2&BOARD_SEQ=3&BBS_SEQ=4056,2027학년도 경기대학교 수시모집 재외국민 특별전형 모집요강,"입학처 자료실에 2027학년도 재외국민 모집요강(배포용 hwp/pdf) 게시 — 요강 개요에 '재외국민 및 외국인' 포함, 2027학년도 대상. 주의: 국제교류팀 'Admission Guide (모집 요강)' 페이지의 순수외국인 학부 요강은 아직 '2026_2 Undergraduate Admission Guide'로 2027 전기(3월) 가이드는 미게시 상태.",2026_or_older,,,한국어과정 모집요강 페이지에 Korean2026/English2026 등 2026 브로슈어만. 최종수정 2025-12-01. 2027 없음.,unknown_year,,,대학원 홈페이지(graduate.kyonggi.ac.kr) 반복적 접속 불가(시간 초과/500 오류). 공학대학원 2026 모집요강(www.kyonggi.ac.kr/gindustrial)은 외국인 미모집. 김박사넷 게시글 기준 2025학년도 후기(추가) 대학원 모집에 외국인 포함 확인. 2026/2027 일반대학원 외국인 모집요강 확인 불가.,https://www.kyonggi.ac.kr/IOIE/contents.do?key=1494,https://drive.google.com/file/d/1lLJUM0YISJKcJSx82gAjaGJJMkX0WwRu/view,https://drive.google.com/file/d/1MgrFaEIIquxnS4jTs9RSTsxv2qcKR-DL/view
경남대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2026_or_older,,,모집요강 링크가 '2026년 모집요강/Korean Language Center(Korean).zip' 폴더. 2027 없음.,2026_or_older,https://www.kyungnam.ac.kr/grad/858/subview.do,2026학년도 후기 대학원 신입생 모집요강,대학원 홈페이지에 외국인 특별전형 전용 페이지(/grad/966/subview.do) 운영 중. 모집요강 페이지에 2026학년도 후기 모집요강 다운로드 제공. 2027학년도 자료 미발견.,https://www.kyungnam.ac.kr/international/6904/subview.do,https://drive.google.com/file/d/1sGdHmtd7GAs8ogR4PDh5GvcSDAAXDLt6/view,https://drive.google.com/file/d/1yBr6aw-kuCmS4Kqi3xT2SWR3SoFOHxXP/view
경동대학교,univ,2027_adiga,adiga_2027 (downloaded),,,?,,,,?,,,,,,https://drive.google.com/file/d/190zjej1Ry22WhV7QAFAgH1MwTVi5v_hA/view
경북대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2026_or_older,,,한국어연수 일정 탭에 2026 봄/여름/가을/겨울 모집일정만(겨울 2026은 2027.2월 종강이지만 2026학년도 표기). 2027 일정 없음.,2026_or_older,https://oia.knu.ac.kr,2026학년도 대학원 외국인 특별전형 모집요강,"2026학년도 1학기(전기, 2025.09 발표) 및 후기(2026.03 발표) 대학원 외국인 특별전형 모집요강 공식 발표 확인 (한국교육원 다수 게시). 국제처(oia.knu.ac.kr) 및 admission@knu.ac.kr 담당. 2027학년도 전기는 통상 9~10월 발표 예상.",https://lang.knu.ac.kr/hmpg/cms/subPage/MNU0080133.knu,https://drive.google.com/file/d/1lU40HtfGqXLAh_HKBW5nTT8179onz6c9/view,https://drive.google.com/file/d/1ws-lrauAVKS7IxvX9OInIoSBy0D_1MDF/view
경상국립대학교,univ,2027_own,https://www.gnu.ac.kr/new/cm/cntnts/cntntsView.do?mi=4969&cntntsId=2840,2027학년도 재외국민과 외국인 모집요강 / 2027학년도 재외국민과 외국인 특별전형 신입생 모집,"입학처 '외국인/시간제/계약학과 > 모집요강 > 재외국민과 외국인' 페이지에 2027학년도 재외국민과 외국인 모집요강 및 2027 특별전형 신입생 모집(원서접수 2026.7.6~7.8, 합격자 문서등록 2026.12월, 등록금 납부 2027.2월) 게시 확인. 2027학년도(2027년 3월 입학) 명시.",unknown_year,,,"한국어 등록 페이지는 절차/서류 안내만, 연도 표기 없음. 공지사항은 외국어강좌/영어캠프 중심, 한국어과정 모집요강 게시글 없음.",2026_or_older,https://www.gnu.ac.kr/main/na/ntt/selectNttInfo.do?nttSn=3813761,[일반대학원]2026학년도 전기 대학원 특별전형(외국인&재외국민) 모집 안내,일반대학원 2026학년도 전기 특별전형(외국인/재외국민) 모집 안내 공식 게시. 2026학년도 수시모집요강(학부)도 2027 발표. 2027학년도 대학원 전기 모집요강은 통상 10~11월 발표 예상.,https://www.gnu.ac.kr/sle/cm/cntnts/cntntsView.do?mi=7772&cntntsId=4140,https://drive.google.com/file/d/1hFFqgWDLgzk9iSoV895G-wV2Gx-yPUaB/view,https://drive.google.com/file/d/1pWjXAE5HGqcxbiQ03VEoxsAL4_DIMmvs/view
경성대학교,univ,2026_or_older,,,국제처 '외국인입학 > 학부과정 > 모집요강(Korean/English 등)' 및 영문 사이트에서 게시된 요강은 '2026학년도 후기 외국인특별전형 모집요강'까지 확인. 2027학년도 외국인 모집요강은 발견되지 않음.,2026_or_older,,,한국어교육 모집요강 PDF 파일명 'Korean 2026' (PDF 내 2026 표기). 2027 없음.,2026_or_older,https://kscms.ks.ac.kr/graduate/CMS/Contents/Contents.do?mCode=MN075,2026학년도 후기 대학원 신입생 모집 안내,대학원 CMS에 2026학년도 후기 신입생 모집 안내 게시. 2026학년도 전기 외국인특별전형 진행 확인(Scribd 면접 안내). 글로벌칼리지(ksgc.kr)에 2025학년도 후기 대학원 외국인특별전형 게시. 2027학년도 자료 미발견.,https://kscms.ks.ac.kr/lec/CMS/Contents/Contents.do?mCode=MN070,https://drive.google.com/file/d/1F7cX-dOF7krL5zz959RDc6xfBXxiLP7f/view,https://drive.google.com/file/d/1PwDlpcgxzO6rHA0oT9h-l0GiK38ufpIZ/view
경운대학교,univ,none,,,,2026_or_older,,,모집요강 다운로드 PDF 내용이 2026년 일정(접수 2025.12~2026.08). 2027 없음.,?,,,,https://www.ikw.ac.kr/worldle/page/link.tc?mn=5711&pageSeq=4630,,
경일대학교,univ,unknown_year,,,입학처 '외국인 > 모집요강 > 신입 외국인' 페이지(nav_code=ips1556602088)는 존재하나 요강 내용이 임베디드/리다이렉트(타기관 콘텐츠) 방식이라 연도를 확인 불가. 공지 게시판에는 2027학년도 수시(일반) 관련 공지는 있으나 2027 외국인 모집요강 공지는 확인되지 않음. 재확인 필요.,2026_or_older,,,한국어교육원 입학 페이지는 상시모집(연도 없음). 공지사항 최신 2026학년도 여름학기(2026-05-27). 2027 없음.,2026_or_older,https://www.kiu.ac.kr/HOME/grad/,일반대학원 입학 안내 (2026 전기) / 2026학년도 후기 4차 대학원 신·편입생 모집,"Official graduate school (kiu.ac.kr/HOME/grad/) actively recruiting: '입학 안내(2026 전기)' to wipsi.kiu.ac.kr, 2026 후기 4차 신·편입생 합격자 발표 (2026-08-11). 2025 전기 1차 notice (2024-11-26) explicitly targeted 외국인 유학생 석/박사. No 2027 graduate guide published yet as of Aug 2026.",https://global.kiu.ac.kr/,https://drive.google.com/file/d/1085KK5JlfiupCserVKRDbclYlAwNFF-P/view,https://drive.google.com/file/d/15P_yvxyIAQpCCq0nP8rhNW7fkYOs4fdG/view
경희대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2027_guide,https://iie.khu.ac.kr/bbs/content.php?co_id=OnCampus,2027학년도 일정 (정규과정-OnCampus: 봄/여름/가을/겨울 정규학기 일정),정규과정 페이지에 '2027학년도 일정' 명시 — 2027 봄(2027.3.29~)/여름/가을/겨울 강의·접수기간 게재. 2027 가이드 확인됨.,2026_or_older,https://iadmission.khu.ac.kr/gglobalcenter/user/contents/view.do?menuNo=8000048,2026학년도 후기 정원외 외국인전형 모집요강_국문.pdf (일반대학원),Official 국제처 글로벌입학팀 Graduate Admission (외국인 입학 대학원) page currently hosts 2026 후기 정원외 외국인전형 모집요강 (PDF dated 2026-03). Notices show 2026 후기 정원외 외국인 일반대학원 신입학. No 2027 guide yet (2027 전기 expected late 2026).,https://iie.khu.ac.kr/bbs/content.php?co_id=OnCampus,https://drive.google.com/file/d/12XN2dbPZFEd-ffAZRPhJaVroTKsB9G0U/view,https://drive.google.com/file/d/1JhD6CkiAU5iYL2DOyROrkmJhHY9DPtcY/view
계명대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2026_or_older,,,정규과정 일정표에 2025/2026 학기만(2026 겨울은 2027.2월 종강이지만 2026학년도 표기). 2027 일정 없음.,2026_or_older,https://gs.kmu.ac.kr/gs/8447/subview.do,2026학년도 후기 일반대학원 신입학 모집 요강 (내국인·외국인),"General graduate school (gs.kmu.ac.kr) latest notice is 2026학년도 후기 일반대학원 신입학 (posted 2026-04-02, includes 외국인; 외국인 문의 053-580-6252). NOTE: inco.kmu.ac.kr 2027koreanspring.pdf '2027학년도 1학기 외국인 특별전형 모집요강' is UNDERGRADUATE (학부 신·편입, 단과대학 like Keimyung Adams College), NOT graduate. No 2027 graduate guide yet.",https://kintlcenter.kmu.ac.kr/sites/kintlcenter/index.do,https://drive.google.com/file/d/1PIlv2Jqeb0iAc2AENciJFVQSEdRC7ikc/view,https://drive.google.com/file/d/1hFW4RPKaSupHtD1EVrigZ3dNA4ZwQGYa/view
고려대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2026_or_older,,,"정규과정 등록안내 page; 환불 규정 표에 2026학년도 명시, 최종수정일 2026.08.07; 2027 안내 없음",2027_guide,https://graduate.korea.ac.kr/matriculate/schedule.html,2027학년도 전기 대학원 입학전형 일정 및 지원자격 (외국인 전형),Official 일반대학원 site published 2027학년도 전기 schedule: 외국인 전형 신입학 원서접수 2026-09-01~09-10 (내국인 2026-09-29~10-07). Full foreign guide expected at graduate2.korea.ac.kr/admission/guide.html. Confirmed 2027 graduate foreign guide exists.,https://klc.korea.ac.kr/klckor/course/regular_guide.do,https://drive.google.com/file/d/1Cn-H3c50lGnEKYgYopkR1OnY3Fak8fOa/view,https://drive.google.com/file/d/1N5b_3A7V-xlgOK3LK_-RytmiB5yEt0m9/view
고신대학교,univ,2027_adiga,adiga_2027 (downloaded),,,error,,,"global.kosin.ac.kr 연결 거부/재설정 (ERR_CONNECTION_REFUSED/RESET); www.kosin.ac.kr은 정상이나 어학당 콘텐츠는 global 서브도메인에만 존재, 사이트 다운 상태",?,,,,https://global.kosin.ac.kr/korean/bbs/board.php?bo_table=notice&wr_id=137,,https://drive.google.com/file/d/1UPVdgHE64mFJdPD0-ePsRe-rz2x6lRaX/view
광신대학교,univ,error,,,공식 홈페이지(www.kwangshin.ac.kr)가 반복적으로 타임아웃되어 접속 불가(browser/웹추출 모두 실패). 외국인/국제학생 입학안내 페이지 확인 불가. 수동 확인 필요.,?,,,,?,,,,,,https://drive.google.com/file/d/1JipyW1w_bzs0vhHNzWjz4UnabgEYielp/view
광운대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2026_or_older,,,공지사항 최신: ★2026 가을학기 정규과정 온라인 접수 안내 (26.06.01); 모집요강 PDF 존재하나 연도 미표기; 2027 없음,2026_or_older,https://grd.kw.ac.kr/admission/recruitment.php,2026학년도 후기 대학원 신(편)입학 추가 모집요강 (recruitment26-3.pdf),"Official 일반대학원 (grd.kw.ac.kr) 모집요강 page hosts 2026학년도 후기 추가모집; foreign students follow same schedule (외국인 신(편)입학 = 내국인 일정), docs via 대외국제처 국제교류팀; foreign grad guide at oia.kw.ac.kr/admission/graduate.php. No 2027 guide published yet.",https://kwiie.kw.ac.kr/,https://drive.google.com/file/d/1YhbD0fSmOLoIZGlPFmpnwFWIQejqiEry/view,https://drive.google.com/file/d/1YxGI-nnWcMa_HlCFC7jspqI2uXbr7OQe/view
광주대학교,univ,unknown_year,,,국제협력처 '유학생입학' 메뉴에 '모집요강/신청서' 페이지(mn=1421/1457)가 존재하나 페이지 로딩이 반복 타임아웃되어 게시 연도 확인 불가. 입학처에는 2027학년도 수시모집요강(일반전형) 공지만 확인 — 외국인 특화 2027 요강 게시 여부 미확인. 재확인 필요.,2026_or_older,https://ie.gwangju.ac.kr/board/download/?board=notice&site=gw_ie&mn=1438&type=download&post_idx=167953&page=1&per_page=5&num_links=15&real_type=&file_idx=51221,2026학년도 한국어과정 어학연수반 모집요강 공고,게시판 최신 모집요강 공고가 2026학년도 (등록 2025-12-09); 2027 공고 없음,2026_or_older,https://www.gwangju.ac.kr/,2026학년도 후기 대학원 신·편입생 추가 4차 모집 (일반대학원·사회복지전문대학원),Gwangju Univ graduate school active in 2026 (후기 4차 추가 모집 closing 2026-08-26; 2026 전기 신·편입 모집 Oct 2025). Foreign grad recruiting confirmed (2026학년도 외국인 유학생 온라인 설명회 incl. 법학/컴퓨터공학/뷰티미용 석사과정). No dedicated 2027 foreign grad guide found; grad.gwangju.ac.kr currently throws a PHP/DB error. International office ie.gwangju.ac.kr handles foreign students.,https://ie.gwangju.ac.kr/board/?board=notice&site=gw_ie&mn=1438&type=view&post_idx=167953,https://drive.google.com/file/d/1wBzOdLhWo-YFfk9VdcvGo0CWy-Ljn2v4/view,https://drive.google.com/file/d/1lYrUqtAr-F2wo7NtJTNLM_YNdaqyaEFF/view
광주여자대학교,univ,none,,,,2026_or_older,,,한국어 연수과정 교육일정이 2025-1학기~2025-4학기까지만 게시; 모집요강/신청서 PDF는 연도 미표기; 2026/2027 일정 없음,?,,,,https://globalgate.kwu.ac.kr/mod/page/view.do?MID=GLOBALGATE_C05010101,,
국립강릉원주대학교,univ,2026_or_older,,,입학처 공지에서 '2026학년도 외국인 신입학 모집요강(재외국민/외국인)' 및 2026 하반기(9월) '부모 모두 외국인' 신·편입학 모집요강까지 확인(국제교육센터). 2027학년도 외국인 신입학 모집요강은 발견되지 않음. (입학처 홈페이지 iphak.gwnu.ac.kr은 접속 타임아웃 — 검색 인덱스 기준 판정),2026_or_older,,,온라인 원서접수 최신: 2026학년도 한국어교육센터 겨울학기 학생 모집 (접수 2026-08-18~10-15); 2027 없음,2026_or_older,https://www.gwnu.ac.kr/grad/4324/subview.do,2026학년도 전기 일반대학원 신입생 모집 안내 (외국인 모집요강 국문/영문 포함),"Official graduate school board shows 2026학년도 전기 (application Nov 2025, foreign 1/2차) and 2026 후기 외국인 입학전형 (application May-June 2026, eng.gwnu.ac.kr). No 2027 guide published yet as of Aug 2026.",https://kls.gwnu.ac.kr/application/,https://drive.google.com/file/d/1ft6HMaPQO7wvoazlZvhLgsHlS6E6sXbQ/view,https://drive.google.com/file/d/1gSowC-Fy07cYcEoCPIPDK1K4YOkdjqFo/view
국립경국대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2026_or_older,https://ic.gknu.ac.kr/bbs/file_download2.php?type1=Korean&type2=korean,외국인 유학생 모집요강(한국어) - 한국어학당 입학요강,모집요강 PDF 다운로드 확인: 2026 학사일정 (겨울학기 26.11.16~27.1.20); 2027학년도 표기 없음,unknown_year,https://ic.gknu.ac.kr/bbs/board.php?bo_table=icanu_notice,대외협력본부 공지사항 / 모집요강 (대학원 외국인 특별전형),"국립경국대학교 (merged from 국립안동대, domains ic.gknu.ac.kr / ipsi.gknu.ac.kr; 일반대학원 still at graduation.andong.ac.kr). Most recent grad foreign guide found is predecessor 국립안동대 2024학년도 전기 대학원 외국인 특별전형 (Jan 2024); 2023 also present. No 2025/2026/2027 guide surfaced in search — school transitioning to new name; verify ic.gknu.ac.kr notice board directly.",https://ic.gknu.ac.kr/bbs/korean.php,https://drive.google.com/file/d/1KpKLkpRJ4-N5irNuIUacFYGIWSvAlu_1/view,https://drive.google.com/file/d/1g4MRG-lJB0v1Dr4IwzT1tR_VVi53uNrE/view
국립공주대학교,univ,2027_own,https://ipsi.kongju.ac.kr/kor/article/ATCL7a488cf94/16001,2027학년도 재외국민과 외국인 특별전형 신입생 모집요강 공고,공식 입학안내(입학과)에 '2027학년도 재외국민과 외국인 특별전형 신입생 모집요강 공고'(2026.05.31 등록) 게시. 원서접수 2026.7.6~7.10로 2027학년도(2027년 3월 입학) 전형 명시. 재외국민+외국인 합본 요강 PDF 첨부(모집요강(완).pdf). MOE 재외교육기관포털 2027 재외국민 요강 목록에도 등재.,2026_or_older,,,"공지사항 최신: 2026 가을학기 한국어 연수 모집 (26.05.26), 2026학년도 가을학기 외국어교육과정; 2027 없음",2026_or_older,https://oia.kongju.ac.kr/admboard/4531,2026학년도 후기 일반대학원 외국인 특별전형 신입생 모집 (2026 Fall Semester Foreign Admission for Graduate),Official 국제교류 (oia.kongju.ac.kr) grad foreign board: latest is 2026 후기 (2026-03-18) with 국/영/중 모집요강 PDFs; 2026 전기 posted 2025-09-17. ipsi.kongju.ac.kr '2027학년도 재외국민과 외국인 특별전형 신입생 모집요강' (2026-05-31) is UNDERGRADUATE (신입생). No 2027 graduate guide yet.,https://iile.kongju.ac.kr/,https://drive.google.com/file/d/1jjKJ6bL483cE6gCzd6rnugng3cTid-bv/view,https://drive.google.com/file/d/1V1xuIgT1MvdX9KPlfyXUSvZZq4Bdg4nF/view
국립군산대학교,univ,2026_or_older,,,국제교류처(inter.kunsan.ac.kr) 모집요강 페이지에서 최신이 '2026학년도 전기 재외국민 특별전형 모집요강'(2026 봄) 및 '2026학년도 후기 외국인 학부과정 추가모집 모집요강'(2026 가을)까지 확인. 입학처에는 2027학년도 대학입학전형시행계획(일반) 공지만 게시. MOE 재외교육기관포털 2027 재외국민 요강 목록에도 미포함 — 2027 외국인/재외국민 모집요강 미발견.,2026_or_older,,,한국어 어학연수 안내의 학사일정: 2026학년도 봄~겨울학기 (겨울 26.12.7~27.2.18); 2027 없음,2026_or_older,https://www.kunsan.ac.kr/inter/index.kunsan?menuCd=DOM_000013303002000000,2026학년도 후기 외국인 대학원과정 추가모집 모집요강 (Graduate-KOR/ENG/CHN),Official international office Int'l Admission grad page hosts 2026 후기 외국인 대학원과정 추가모집 모집요강 (한/영/중); general grad board (gradu_kunsan) shows 2026 전기 3차 추가 모집 (Feb 2026). No 2027 guide published yet.,https://www.kunsan.ac.kr/inter/index.kunsan?menuCd=DOM_000013303005000000,https://drive.google.com/file/d/1mT_U1Rx53IwxKT0OJfNQXJQwQHcwOX98/view,https://drive.google.com/file/d/1k2jkuo-7_kDxxyZIEcT6Lw01xcAsraRK/view
