전형,가이드연도,순위,학교,영문명,지역,IELTS,TOPIK,자체시험,등록금최소,등록금최대,데이터사이언스관련학과,장학금,비고,가이드링크
외국인,2027,,경동대학교,Kyungdong University,강원도,5.5,3,Y,3364533,3364533,컴퓨터공학과 (Department of Computer Engineering) / 소프트웨어융합보안학과 (Department of Software Convergence and Security),글로벌 외국인유학생 장학금: TOPIK 4급 → 입학금 전액 면제 + 수업료 50% 감면 (외 2단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1pLAGbOL8Uz6XeS22ocdThhcxWkPCgJro/view
외국인,2027,,경상국립대학교,GNU University,경상남도,,2,Y,1779000,2703000,정보통계학과 (Department of Information Statistics) / 산업시스템공학부 (School of Industrial Systems Engineering) / 컴퓨터공학부 (School of Computer Engineering) / 소프트웨어공학과 (Department of Software Engineering) / AI정보공학과 (Department of AI Information Engineering),토픽 장학금(신입생): TOPIK 4급 → 첫 학기 등록금 전액 (외 1단계) / 글로벌자율전공학부 TOPIK 및 성적장학금(신입생 첫 학기): TOPIK 3급 → 등록금 1/2 (외 1단계),재외국민과 외국인 2027,https://drive.google.com/file/d/1pWjXAE5HGqcxbiQ03VEoxsAL4_DIMmvs/view
외국인,2027,,계명대학교,KMU University,대구광역시,5.0,3,Y,3250000,4856000,산업공학과 (Department of Industrial Engineering) / 통계학과 (Department of Statistics) / 경영빅데이터학과 (Department of Management Big Data) / 컴퓨터공학과 (Department of Computer Engineering) / 게임소프트웨어학과 (Department of Game Software) / 모빌리티소프트웨어학과 (Department of Mobility Software),외국인 신·편입학생 장학: TOPIK 5급 이상 → 수업료 100% 감면 (외 2단계) / 외국인장학: TOPIK 3 → 수업료 30% (외국인장학 2) (외 6단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1OELyRxgmw4f2yESfCc5OVDG4k-VM_B4P/view
외국인,2027,,국립경국대학교,KNUG University,경상북도,,3,,1690000,2300000,컴퓨터공학전공 (Computer Engineering Major) / 소프트웨어융합전공 (Software Convergence Major) / 데이터과학전공 (Data Science Major) / 디지털ICT공학전공 (Major in Digital ICT Engineering),GKNU Talented Scholarship: TOPIK TOPIK 3급 이상 (신입 2개 학기/편입 1개 학기) → 학기당 100만원 / 입학장학금: TOPIK TOPIK 3급 이상 → 등록금 22%,adiga 외국인 2027 PDF,https://drive.google.com/file/d/1GCLUqnJskbqMP1ckaVzg6aBw8bg9PsmS/view
재외국민,2027,,국립금오공과대학교,KIT University,경상북도,,4,,,,산업·빅데이터공학부 (School of Industrial and Big Data Engineering) / 산업공학전공 (Industrial Engineering Major) / 수리빅데이터전공 (Mathematical Big Data Major) / 컴퓨터공학부 (School of Computer Engineering) / 소프트웨어전공 (Software Major) / 컴퓨터공학전공 (Computer Engineering Major),국제교류협력장학금 (학비감면): TOPIK 5 → 등록금 전액 (A급) (외 4단계),2027 재외국민 특별전형,https://drive.google.com/file/d/1XGN8PgGQPhN_f6c2kpeoTFsbwDEE8_pM/view
재외국민,2027,,국립부경대학교,PKNU University,부산광역시,5.5,3,Y,1703000,2241500,인공지능전공 (Artificial Intelligence Major) / 데이터비즈니스융합전공 (Data Business Convergence Major) / 데이터사이언스융합전공 (Data Science Convergence Major) / 냉동공조공학과 (Department of Refrigeration and Air-Conditioning Engineering) / 빅데이터융합학과 (Department of Big Data Convergence) / 정보통신공학과 (Department of Information and Communication Engineering),입학장학금(한국어트랙): TOPIK 6 → 첫 학기 등록금 100%(A등급) (외 3단계) / 입학장학금(영어트랙): IELTS 8.0 이상 → 첫 학기 등록금 100%(A등급) (외 7단계),2027 재외국민 특별전형,https://drive.google.com/file/d/1xO2Shwfa_71bavZqJENyOrjjK_f6Nezu/view
외국인,2027,,국립순천대학교,SCNU University,전라남도,5.5,3,,1653000,3114000,글로벌ICT문화예술콘텐츠전공 (Global ICT Culture and Arts Content Major) / 인공지능공학부 (School of Artificial Intelligence Engineering) / 컴퓨터공학과 (Department of Computer Engineering),한국어연수과정 수료생 장학금: TOPIK 수료생 중 최고 우수 + TOPIK 3급 이상 → 수업료1·수업료2 전액 (외 2단계) / 신(편)입생 장학금 (연수 미수료자): TOPIK TOPIK 4급 이상 → 수업료1·수업료2 전액 (외 1단계),재외국민과 외국인 특별전형 2027,https://drive.google.com/file/d/11e6bsaO7brMATjYBMJHeGK8hNFgdnJBv/view
외국인,2027,,국립창원대학교,CWNU University,경상남도,,3,,,,통계학과 (Department of Statistics) / 산업시스템공학과 (Department of Industrial Systems Engineering) / 컴퓨터공학과 (Department of Computer Engineering) / 정보통신공학과 (Department of Information and Communication Engineering) / 산업디자인학과 (Department of Industrial Design),"한국어능력시험 우수 장학금: TOPIK 4급 → 250,000원 (외 2단계)",adiga 외국인 2027 PDF,https://drive.google.com/file/d/1IhgEqqeJHe9vkEnAk_2aFJYSHmSBRmRS/view
외국인,2027,,국립한국교통대학교,KNUT University,충청북도,,3,Y,1675000,2455000,"컴퓨터소프트웨어학과 (Department of Computer Software) / 산업경영공학과 (Department of Industrial and Management Engineering) / 산업디자인학과 (Department of Industrial Design) / 철도AI·데이터공학부 (School of Railway AI and Data Engineering) / 철도대학자유전공학부 (School of Open-Major Railway Studies, College of Railway) / 컴퓨터공학과 (Department of Computer Engineering)",신입학생 성적우수 장학금: TOPIK TOPIK 6급 (A유형) → 수업Ⅰ 전액 + 수업Ⅱ 전액 및 재학 중 수업Ⅰ 전액 (외 6단계) / 재학생 성적우수 장학금: GPA 평점평균 2.8 이상 + F학점 없음 (A유형) → 수업Ⅰ 전액 + 수업료Ⅱ 전액 (외 3단계),재외국민과 외국인 특별전형 2027,https://drive.google.com/file/d/1YhKdE3Qzj1v3DxemKCNBQyRfi-B39UaM/view
외국인,2027,,나사렛대학교,Korea Nazarene University,충청남도,5.5,3,,,,AI인공지능학부 (School of Artificial Intelligence (AI)) / AI빅데이터소프트웨어전공 (AI Big Data Software Major) / AI사물인터넷보안전공 (AI Internet of Things (IoT) Security Major),,재외국민과 외국인 특별전형 2027,https://drive.google.com/file/d/1Htj8olRBgKpKyHGR47-oxAKDcsmGgXRG/view
외국인,2027,,단국대학교,Dankook University,경기도,5.5,3,Y,4230000,6799000,소프트웨어학과 (Department of Software) / 컴퓨터공학과 (Department of Computer Engineering) / 통계데이터사이언스학과 (Department of Statistics and Data Science) / 동양화전공 (Major in Oriental Painting) / 서양화전공 (Western Painting Major),신·편입생 장학금(한국어트랙): TOPIK 6 → 수업료의 60%(4년)+생활관비 (외 2단계) / 신입생 장학금(영어트랙 공인영어성적): TOEFL iBT 71 이상 → 수업료 50% 면제(1학기) (외 7단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1ZDw08PvPnlBXKnUcIcusAyLF0vhpA_2P/view
외국인,2027,,덕성여자대학교,Duksung University,서울특별시,,3,,3564000,4992000,데이터사이언스학과 (Department of Data Science) / AI신약학과 (Department of AI New Drug Discovery) / 디지털소프트웨어공학부 (School of Digital Software Engineering) / 정보통계학전공 (Information Statistics Major) / 동양화전공 (Major in Oriental Painting) / 서양화전공 (Western Painting Major),지구촌외국인장려장학금: TOPIK 6 → 수업료 100% 감면 (외 2단계) / 지구촌외국인장려장학금: TOPIK 5~6 → 수업료 100% 감면 (외 2단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1KK7XY6HQOq1DFTz5Qk70QFHDwNcmjf9M/view
외국인,2027,,동덕여자대학교,Dongduk University,서울특별시,,3,Y,,,컴퓨터학전공 (Computer Science Major) / 정보통계학전공 (Information Statistics Major) / 회화전공 (Painting Major) / 방송연예전공 (Broadcasting and Entertainment Major) / HCI사이언스전공 (HCI (Human-Computer Interaction) Science Major) / 데이터사이언스전공 (Data Science Major),,재외국민과 외국인 2027,https://drive.google.com/file/d/1BI1HN5Cm8CG93KGf1cDp4EuXqE-sSK11/view
재외국민,2027,,명지대학교,Myongji University,경기도,5.5,3,Y,4107000,5994000,경상·통계학부 (School of Business and Statistics) / 응용통계학전공 (Applied Statistics Major) / 융합소프트웨어학부 (School of Convergence Software) / 응용소프트웨어전공 (Applied Software Major) / 데이터사이언스전공 (Data Science Major) / 인공지능전공 (Artificial Intelligence Major),신(편)입생 입학장학금: TOPIK 미취득 → 등록금의 20% (생활지원금) (외 4단계),2027 재외국민 특별전형,https://drive.google.com/file/d/1vPEymxjQWZWWyMzO3-sqo5mSDdmx7yLz/view
외국인,2027,,목원대학교,Mokwon University,대전광역시,5.5,3,Y,,,마케팅빅데이터학과 (Department of Marketing and Big Data) / -한국화전공 (Korean Painting Major) / -서양화전공 (Western Painting Major) / 산업디자인학과 (Department of Industrial Design) / -컴퓨터공학전공 (Computer Engineering Major) / -AI실감콘텐츠전공 (AI Immersive Content Major),입학장학금(B): TOPIK 3급 이상(예·체능 2급) → 등록금 20% 감면 (외 2단계) / 입학장학금(B): TOPIK 3급 이상(예·체능 2급) → 등록금 20% 감면 (외 2단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1TaekParzzurMJauXkE-GZJZ4g9r98DuW/view
외국인,2027,,배재대학교,Pai Chai University,대전광역시,5.5,2,Y,,,철도건설공학과 (Department of Railway Construction Engineering) / 소프트웨어공학부 (School of Software Engineering),정부초청장학생(GKS): 순수외국인 선발자 → 등록금·체재비 정부 전액지원 (별도 전형),adiga 외국인 2027 PDF,https://drive.google.com/file/d/130rgKm6JT40dPiByoiIXOHMIvCmqLBeS/view
재외국민,2027,,부산외국어대학교,BUFS University,부산광역시,5.5,3,Y,3780000,4490000,태국어전공 (Thai Language Major) / 사이버경찰전공 (Cyber Police Major) / 컴퓨터공학전공 (Computer Engineering Major) / 소프트웨어전공 (Software Major) / 빅데이터전공 (Big Data Major) / 사이버경찰학과 (Department of Cyber Police),"입학 장학금: TOPIK 3 → 수업료의 30% 감면 (외 3단계) / 입학 후 TOPIK 장학금: TOPIK 4 → 200,000원 (외 2단계)",2027 수시 재외국민전형,https://drive.google.com/file/d/1DpjPihQrW2LdYsekPnbdT6WEH7_aR9sL/view
재외국민,2027,,삼육대학교,Sahmyook University,서울특별시,5.5,3,Y,3768000,4913000,인공지능융합학부 (School of Artificial Intelligence Convergence) / 컴퓨터공학부 (School of Computer Engineering) / 데이터클라우드공학과 (Department of Data and Cloud Engineering),외국인 TOPIK 성적장학금(신입학): TOPIK 6 → 4년 수업료 100% (외 3단계),2027 재외국민모집,https://drive.google.com/file/d/1CnxAks6KeIXZQDg7kv3qRDpa4b_Pvv0e/view
재외국민,2027,,상명대학교,Sangmyung University,서울특별시,,3,Y,4101000,6071000,"휴먼지능정보공학전공 (Human Intelligence and Information Engineering Major) / 지능·데이터융합학부휴먼AI공학전공 (Human AI Engineering Major, School of Intelligence and Data Convergence)",어학우수 장학금: TOPIK 4급 이상(예체능 3급) → 수업료의 70% (외 1단계),2027 재외국민 특별전형,https://drive.google.com/file/d/1cfeMR1pL_eSKiLA9Wj1wSOdnOuZ9n1OP/view
외국인,2027,,서경대학교,Seokyeong University,서울특별시,,4,Y,3649000,4791000,소프트웨어학과 (Department of Software) / 컴퓨터공학과 (Department of Computer Engineering),외국인 한국어(TOPIK) 우수장학금: TOPIK 2 → 등록금 10% (외 4단계),재외국민과 외국인 2027,https://drive.google.com/file/d/1IaJerr1iYMDQ6fTscu6ZudDXiOAdu45Z/view
외국인,2027,,서울여자대학교,SWU University,서울특별시,,3,,3827000,5285000,지능정보보호학부 (School of Intelligent Information Security) / 사이버보안전공 (Cybersecurity Major) / 소프트웨어학과 (Department of Software) / 데이터사이언스학과 (Department of Data Science) / 산업디자인학과 (Department of Industrial Design) / 정보보호학과 (Department of Information Security),외국인 입학장학금 (TOPIK 급수별): TOPIK 3~4급 → 수업료 70% 감면 (외 1단계) / 외국인 입학장학금 (TOPIK 급수별): TOPIK 3급 → 수업료 30% 감면 (외 3단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1qDsp7wC1jbVtV5ukJ-YN6jJ_eeJCHCAr/view
외국인,2027,,선문대학교,Sun Moon University,충청남도,5.5,3,Y,3634000,4471000,산업경영공학과 (Department of Industrial and Management Engineering) / 컴퓨터공학부 (School of Computer Engineering) / AI소프트웨어학과 (Department of AI Software),신입생 외국인 장학금 (TOPIK 급수별 차등): TOPIK 3급 → 등록금(수업료) 50% (외 3단계) / 신입생 외국인 장학금 (TOPIK 급수별 차등): TOPIK 3급 → 등록금(수업료) 50% (외 3단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/135s3j3faibScJCErlFEtKUzTRqgpnYuH/view
재외국민,2027,,수원대학교,Suwon University,경기도,5.5,4,,3257000,3257000,AI데이터과학부 (School of AI Data Science) / 컴퓨터공학부 (School of Computer Engineering),한국어장학금: TOPIK 6급 → 첫학기 수업료 80% (외 2단계),2027 재외국민,https://drive.google.com/file/d/15_uQYXXaT4GCTNnyEu4fl6YOA0xmSWqT/view
외국인,2027,,신한대학교,Shinhan University,경기도,,,,,,소프트웨어융합학과 (Department of Software Convergence) / 산업디자인학과 (Department of Industrial Design) / 빅데이터경영학과 (Department of Big Data Management) / 소프트웨어공학과 (Department of Software Engineering),신입생 성적 우수 장학금:  전체 수석 입학자 → 등록금 전액 / 외국인유학생 장학금:  TOPIK 4급 이상 취득자 → 수업료 50% (외 1단계),재외국민/외국인 2027 (2027 Admission for Int'l Student),https://ipsi.shinhan.ac.kr/adm/info.do?cateId=3&bbsId=BBSMSTR_000000000054&relateImagePath=svis_3
외국인,2027,,영남대학교,Yeungnam University,경상북도,,3,Y,3450000,5488400,산업디자인학과 (Department of Industrial Design),신입생 외국인 장학금: TOPIK 5급 이상 → 수업료 100% 면제 (외 2단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1fRwQKccvQjk5GGUBwZ1Y8_zSAjgrMqrU/view
재외국민,2027,,용인대학교,Yong In University,경기도,,2,,3743000,4778000,회화학과 (Department of Painting) / AI융합학부 (School of AI Convergence) / AI학부 (School of AI) / 산업환경보건학과 (Department of Industrial and Environmental Health),신·편입생 첫 학기 장학금:   → TOPIK 2급: 수업료 20% (외 4단계) / 재학생 장학금 (GPA×TOPIK):   → GPA 2.5+: 20~40% (외 3단계),2027 재외국민 특별전형 (외국인은 2026-9월),https://drive.google.com/file/d/1r-Dse5TRu9MxWtuoDojnkpew53ijhbOG/view
외국인,2027,,우송대학교,Woosong University,대전광역시,5.5,3,,,,철도건설시스템학부 (School of Railway Construction Systems) / 철도건설시스템전공 (Railway Construction Systems Major) / 철도전기시스템전공 (Railway Electrical Systems Major) / 철도소프트웨어전공 (Railway Software Major) / 철도차량시스템학과 (Department of Railway Rolling Stock Systems) / 철도자율전공학부 (School of Open-Major Railway Studies),외국어 성적우수자 특별장학금: TOEFL IBT 85점 이상 → 4년간 수업료 전액 감면 (외 2단계) / 외국어 성적우수자 특별장학금: TOEFL IBT 85점 이상 → 4년간 수업료 전액 감면 (외 2단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1j6bs86dEBVhOhXqVzTVtSIRjNwTlIzS8/view
