가이드연도(검증),순위,학교,영문명,지역,IELTS,TOPIK,자체시험,등록금최소,등록금최대,데이터사이언스학과,장학금,모집기간/비고
2027,20,숙명여자대학교,Sookmyung Women's University,서울특별시,5.5,3,Y,,,소프트웨어학부 (School of Software) / 데이터사이언스전공 (Data Science Major),세계지역 핵심인재 장학금 (한국어트랙): TOPIK 6급→등록금 90% 감면 (외 3단계) / 세계지역 핵심인재 장학금 (영어트랙): IELTS 8.0 이상→등록금 70% 감면 (외 5단계),"adiga 2027 외국인 PDF(2027 전기 확인), 원서접수 2026.10.7~10.16"
2026,23,가톨릭대학교,The Catholic University of Korea,경기도,,3,Y,4262000,5964000,컴퓨터정보공학부 (School of Computer and Information Engineering) / 정보통신전자공학부 (School of Information Communication and Electronic Engineering) / 인공지능학과 (Department of Artificial Intelligence) / 데이터사이언스학과 (Department of Data Science) / 바이오메디컬소프트웨어학과 (Department of Biomedical Software) / AI의공학과 (Department of AI Biomedical Engineering),외국인우수장학금(신입학): TOPIK 6급→2년 등록금 전액 (외 2단계) / 외국인 신입생 장학금: TOPIK 5~6→입학금 전액 및 수업료의 90% (외 4단계),"2026학년도 재외국민과 외국인 (실제 2026), 원서접수 2025.9.15~10.15"
2027,25,가천대학교,Gachon University,경기도,5.5,3,Y,4173800,5665800,"컴퓨터공학과 (Department of Computer Engineering) / 금융·빅데이터학부 (School of Finance and Big Data) / 응용통계학과 (Department of Applied Statistics) / 산업공학전공 (Industrial Engineering Major) / 회화전공 (Painting Major) / 산업디자인전공 (Industrial Design Major) / 기계·스마트·산업공학부 (School of Mechanical, Smart, and Industrial Engineering) / 컴퓨터공학부 (School of Computer Engineering)",외국인장학금(입학장학금): TOPIK 6급→등록금 90% 감면 (외 10단계) / 외국인 장학금 (신입생 장학금): TOPIK 4~5→입학 후 첫 학기 등록금 100% 감면 (외 2단계),"adiga 2027 외국인 PDF, 원서접수 2026.10.12~10.23"
2026,28,충남대학교,Chungnam National University,대전광역시,5.5,4,Y,1807500,2572000,정보통계학과 (Department of Information Statistics) / 정보통신융합학부 (School of Information and Communication Convergence) / 전파정보통신공학과 (Department of Radio and Information Communication Engineering),외국인 신입생 장학금(TOPIK 등급별): TOPIK 5급 이상→첫 학기 등록금 전액 (외 1단계),"2026학년도 전기 외국인 (실제 2026), 원서접수 2025.10.13~10.17"
2027,,가톨릭관동대학교,CK University,강원도,,2,,3242000,5226000,항공정비학전공 (Aircraft Maintenance Studies Major) / CG디자인전공 (CG (Computer Graphics) Design Major),신입생 성적우수 장학금: 성적 A급→4년간 등록금 50%(수시) (외 4단계) / 총장특별장학금: 기타 최초학적 등록 신입생 등→100만원(1회),"adiga 2027 외국인 PDF, 원서접수 2026.7.6~7.10"
2027,,건양대학교,Konyang University,충청남도,,5,,3485000,5439000,기업소프트웨어학부 (School of Enterprise Software) / ND산업디자인학부 (ND School of Industrial Design),,"adiga 2027 외국인 PDF, 원서접수 2026.7.6~"
2027,,경남대학교,Kyungnam University,경상남도,5.5,3,Y,2903000,4102000,·관광항공서비스학전공 (Tourism and Airline Service Major) / 컴퓨터공학부 (School of Computer Engineering) / ·컴퓨터공학전공 (Computer Engineering Major) / ·소프트웨어전공 (Software Major) / ·컴퓨터보안전공 (Computer Security Major) / 인공지능학과 (Department of Artificial Intelligence),외국인 신·편입학 장학(B/C/D급): TOPIK 4급 이상→입학 해당학기 수업료 70% (외 4단계) / 외국인 유학생 신입생 기숙사비 지원: TOPIK 4급 이상→기숙사비 100% 2회 지원 (외 5단계),"adiga 2027 외국인 PDF, 원서접수 2026.10.26~11.20"
2027,,경동대학교,Kyungdong University,강원도,5.5,3,Y,3364533,3364533,컴퓨터공학과 (Department of Computer Engineering) / 소프트웨어융합보안학과 (Department of Software Convergence and Security),글로벌 외국인유학생 장학금: TOPIK 4급→입학금 전액 면제 + 수업료 50% 감면 (외 2단계),"adiga 2027 외국인 PDF, 원서접수 2026.9.7~9.11"
2027,,계명대학교,KMU University,대구광역시,5.0,3,Y,3250000,4856000,산업공학과 (Department of Industrial Engineering) / 통계학과 (Department of Statistics) / 경영빅데이터학과 (Department of Management Big Data) / 컴퓨터공학과 (Department of Computer Engineering) / 게임소프트웨어학과 (Department of Game Software) / 모빌리티소프트웨어학과 (Department of Mobility Software),외국인 신·편입학생 장학: TOPIK 5급 이상→수업료 100% 감면 (외 2단계) / 외국인장학: TOPIK 3→수업료 30% (외국인장학 2) (외 6단계),"adiga 2027 외국인 PDF, 원서접수 2026.9.21~10.23"
2027,,국립경국대학교,KNUG University,경상북도,,3,,1690000,2300000,컴퓨터공학전공 (Computer Engineering Major) / 소프트웨어융합전공 (Software Convergence Major) / 데이터과학전공 (Data Science Major) / 디지털ICT공학전공 (Major in Digital ICT Engineering),GKNU Talented Scholarship: TOPIK TOPIK 3급 이상 (신입 2개 학기/편입 1개 학기)→학기당 100만원 / 입학장학금: TOPIK TOPIK 3급 이상→등록금 22%,"adiga 2027 외국인 PDF, 접수 2026.12.4~"
2027,,국립창원대학교,CWNU University,경상남도,,3,,,,통계학과 (Department of Statistics) / 산업시스템공학과 (Department of Industrial Systems Engineering) / 컴퓨터공학과 (Department of Computer Engineering) / 정보통신공학과 (Department of Information and Communication Engineering) / 산업디자인학과 (Department of Industrial Design),"한국어능력시험 우수 장학금: TOPIK 4급→250,000원 (외 2단계)","adiga 2027 외국인 PDF, 원서접수 2026.11.2~11.13"
2027,,단국대학교,Dankook University,경기도,5.5,3,Y,4230000,6799000,소프트웨어학과 (Department of Software) / 컴퓨터공학과 (Department of Computer Engineering) / 통계데이터사이언스학과 (Department of Statistics and Data Science) / 동양화전공 (Major in Oriental Painting) / 서양화전공 (Western Painting Major),신·편입생 장학금(한국어트랙): TOPIK 6→수업료의 60%(4년)+생활관비 (외 2단계) / 신입생 장학금(영어트랙 공인영어성적): TOEFL iBT 71 이상→수업료 50% 면제(1학기) (외 7단계),"adiga 2027 외국인 PDF, 1차 2026.10.1~16 / 2차 12.2~18"
2027,,덕성여자대학교,Duksung University,서울특별시,,3,,3564000,4992000,데이터사이언스학과 (Department of Data Science) / AI신약학과 (Department of AI New Drug Discovery) / 디지털소프트웨어공학부 (School of Digital Software Engineering) / 정보통계학전공 (Information Statistics Major) / 동양화전공 (Major in Oriental Painting) / 서양화전공 (Western Painting Major),지구촌외국인장려장학금: TOPIK 6→수업료 100% 감면 (외 2단계) / 지구촌외국인장려장학금: TOPIK 5~6→수업료 100% 감면 (외 2단계),"adiga 2027 외국인 PDF, 원서접수 2026.10.12~"
2027,,목원대학교,Mokwon University,대전광역시,5.5,3,Y,,,마케팅빅데이터학과 (Department of Marketing and Big Data) / -한국화전공 (Korean Painting Major) / -서양화전공 (Western Painting Major) / 산업디자인학과 (Department of Industrial Design) / -컴퓨터공학전공 (Computer Engineering Major) / -AI실감콘텐츠전공 (AI Immersive Content Major) / -사이버보안전공 (Cybersecurity Major),입학장학금(B): TOPIK 3급 이상(예·체능 2급)→등록금 20% 감면 (외 2단계) / 입학장학금(B): TOPIK 3급 이상(예·체능 2급)→등록금 20% 감면 (외 2단계),"adiga 2027 외국인 PDF, 1차 2026.9.16~10.7 / 2차 11.23~12.23"
2027,,배재대학교,Pai Chai University,대전광역시,5.5,2,Y,,,철도건설공학과 (Department of Railway Construction Engineering) / 소프트웨어공학부 (School of Software Engineering),정부초청장학생(GKS): 순수외국인 선발자 → 등록금·체재비 정부 전액지원 (별도 전형),"adiga 2027 외국인 PDF, 원서접수 2026.10.16~10.22"
2027,,서울여자대학교,SWU University,서울특별시,,3,,3827000,5285000,"지능정보보호학부 (School of Intelligent Information Security) / 사이버보안전공 (Cybersecurity Major) / 소프트웨어학과 (Department of Software) / 데이터사이언스학과 (Department of Data Science) / 산업디자인학과 (Department of Industrial Design) / 정보보호학과 (Department of Information Security) / 글로벌ICT인문융합학부(신설)-메타버스융합콘텐츠전공 (School of Global ICT and Humanities Convergence (New), Metaverse Convergence Content Major) / 글로벌ICT인문융합학부(신설)-프랑스문화콘텐츠전공 (School of Global ICT and Humanities Convergence (New), French Culture Content Major)",외국인 입학장학금 (TOPIK 급수별): TOPIK 3~4급→수업료 70% 감면 (외 1단계) / 외국인 입학장학금 (TOPIK 급수별): TOPIK 3급→수업료 30% 감면 (외 3단계),"adiga 2027 외국인 PDF, 원서접수 2026.10.8~10.22"
2027,,영남대학교,Yeungnam University,경상북도,,3,Y,3450000,5488400,산업디자인학과 (Department of Industrial Design),신입생 외국인 장학금: TOPIK 5급 이상→수업료 100% 면제 (외 2단계),"adiga 2027 외국인 PDF, 원서접수 2026.10.12~11.13"
2027,,우송대학교,Woosong University,대전광역시,5.5,3,,,,철도건설시스템학부 (School of Railway Construction Systems) / 철도건설시스템전공 (Railway Construction Systems Major) / 철도전기시스템전공 (Railway Electrical Systems Major) / 철도소프트웨어전공 (Railway Software Major) / 철도차량시스템학과 (Department of Railway Rolling Stock Systems) / 철도자율전공학부 (School of Open-Major Railway Studies) / 게임소프트웨어전공 (Game Software Major) / 컴퓨터·소프트웨어전공 (Computer and Software Major),외국어 성적우수자 특별장학금: TOEFL IBT 85점 이상→4년간 수업료 전액 감면 (외 2단계) / 외국어 성적우수자 특별장학금: TOEFL IBT 85점 이상→4년간 수업료 전액 감면 (외 2단계),"adiga 2027 외국인 PDF, 원서접수 2026.7.16~"
2027,,을지대학교,Eulji University,대전광역시,5.5,3,Y,,,빅데이터인공지능전공 (Big Data and Artificial Intelligence Major) / 중독상담전공 (Addiction Counseling Major),"외국인유학생 장학금:  →직전학기 성적 및 어학성적 기반 선발: 학비 20%~100% 차등 지급 / 순수 외국인 입학자 장학금:  →전 학년(4년간) 수업료 지원 (성적에 따른 차등지급, 직전학기 성적 2.0 이상)","adiga 2027 외국인 PDF, 원서접수 2026.9.7~9.11"
2027,,인제대학교,Inje University,경상남도,5.5,3,Y,,,AI컴퓨터학과 (Department of AI Computers),입학 장학금 A형: TOPIK 4급 이상→등록금 100% 감면 (외 2단계) / 입학 장학금 B형: TOPIK 6급→등록금 100% 감면 (외 3단계),"adiga 2027 외국인 PDF, 원서접수 2026.9.7~9.11"
2027,,제주대학교,Jeju University,제주특별자치도,,3,Y,1920000,2564000,산업응용경제학과 (Department of Industrial and Applied Economics) / 인공지능학과 (Department of Artificial Intelligence) / 공업디자인전공 (Industrial Design Major) / 데이터사이언스학과 (Department of Data Science) / 컴퓨터공학과 (Department of Computer Engineering) / 인공지능전공 (Artificial Intelligence Major),유학생 장학금 (A급/E급): TOPIK 5급 이상→등록금 전액 면제 (A급) (외 1단계),"adiga 2027 외국인 PDF, 원서접수 2026.10.5~10.23"
2027,,청주대학교,Cheongju University,충청북도,,,Y,,,산업디자인학과 (Department of Industrial Design) / 데이터사이언스학과 (Department of Data Science) / 인공지능소프트웨어학과 (Department of Artificial Intelligence Software),,"adiga 2027 외국인 PDF, 원서접수 2026.12.1~12.24"
2027,,평택대학교,Pyeongtaek University,경기도,5.5,2,,3532000,4593000,융합소프트웨어학과 (Department of Convergence Software) / 정보통신학과 (Department of Information and Communication) / 데이터정보학과 (Department of Data and Information Science) / ICT융합학부 (School of ICT Convergence) / ICT환경융합학과 (Department of ICT Environment Convergence) / AI융합학과 (Department of AI Convergence),외국인 특별전형 합격자 첫 학기 장학금: TOPIK 6급→수업료 100% (외 9단계) / 외국인 특별전형 합격자 첫 학기 장학금(대학원): TOPIK 6급→수업료 100% (외 8단계),"adiga 2027 외국인 PDF, 원서접수 2025.11.10~12.19"
2027,,한서대학교,Hanseo University,충청남도,5.5,3,,,,헬리콥터조종학과 (Department of Helicopter Pilot Training) / 항공정비학과 (Department of Aircraft Maintenance) / 항공산업공학과 (Department of Aviation Industrial Engineering) / 공항행정학과 (Department of Airport Administration) / AI·SW학부 (School of AI and Software) / 항공AI소프트웨어학과 (Department of Aviation AI Software) / AI로보틱스학과 (Department of AI Robotics) / AI모빌리티학과 (Department of AI Mobility),"외국인 유학생 장학금(TOPIK):  →300,000원 (1학기, 재학 중 1회)","adiga 2027 외국인 PDF, 1학기 2026.12.14~12.18 / 2학기 2027.6.21~6.25"
2026,,경상국립대학교,GNU University,경상남도,,2,Y,1779000,2703000,정보통계학과 (Department of Information Statistics) / 산업시스템공학부 (School of Industrial Systems Engineering) / 컴퓨터공학부 (School of Computer Engineering) / 소프트웨어공학과 (Department of Software Engineering) / AI정보공학과 (Department of AI Information Engineering),토픽 장학금(신입생): TOPIK 4급→첫 학기 등록금 전액 (외 1단계) / 글로벌자율전공학부 TOPIK 및 성적장학금(신입생 첫 학기): TOPIK 3급→등록금 1/2 (외 1단계),"2026학년도 재외국민과 외국인 (실제 2026), 원서접수 2025.11.27~"
2026,,국립순천대학교,SCNU University,전라남도,5.5,3,,1653000,3114000,글로벌ICT문화예술콘텐츠전공 (Global ICT Culture and Arts Content Major) / 인공지능공학부 (School of Artificial Intelligence Engineering) / 컴퓨터공학과 (Department of Computer Engineering),한국어연수과정 수료생 장학금: TOPIK 수료생 중 최고 우수 + TOPIK 3급 이상→수업료1·수업료2 전액 (외 2단계) / 신(편)입생 장학금 (연수 미수료자): TOPIK TOPIK 4급 이상→수업료1·수업료2 전액 (외 1단계),2026학년도 재외국민과 외국인 (모집기간 명시 확인 필요)
2026,,국립한국교통대학교,KNUT University,충청북도,,3,Y,1675000,2455000,"컴퓨터소프트웨어학과 (Department of Computer Software) / 산업경영공학과 (Department of Industrial and Management Engineering) / 산업디자인학과 (Department of Industrial Design) / 철도AI·데이터공학부 (School of Railway AI and Data Engineering) / 철도대학자유전공학부 (School of Open-Major Railway Studies, College of Railway) / 컴퓨터공학과 (Department of Computer Engineering) / 철도경영·물류학과 (Department of Railway Management and Logistics) / 인공지능전공 (Artificial Intelligence Major)",신입학생 성적우수 장학금: TOPIK TOPIK 6급 (A유형)→수업Ⅰ 전액 + 수업Ⅱ 전액 및 재학 중 수업Ⅰ 전액 (외 6단계) / 재학생 성적우수 장학금: GPA 평점평균 2.8 이상 + F학점 없음 (A유형)→수업Ⅰ 전액 + 수업료Ⅱ 전액 (외 3단계),"2026학년도 재외국민과 외국인 (실제 2026), 접수 2025.12.29~12.31"
2026,,나사렛대학교,Korea Nazarene University,충청남도,5.5,3,,,,AI인공지능학부 (School of Artificial Intelligence (AI)) / AI빅데이터소프트웨어전공 (AI Big Data Software Major) / AI사물인터넷보안전공 (AI Internet of Things (IoT) Security Major),,"2026학년도 재외국민과 외국인 (실제 2026), 원서접수 2025.7.1~"
2026,,동덕여자대학교,Dongduk University,서울특별시,,3,Y,,,컴퓨터학전공 (Computer Science Major) / 정보통계학전공 (Information Statistics Major) / 회화전공 (Painting Major) / 방송연예전공 (Broadcasting and Entertainment Major) / HCI사이언스전공 (HCI (Human-Computer Interaction) Science Major) / 데이터사이언스전공 (Data Science Major),,"2026학년도 재외국민과 외국인 (실제 2026), 원서접수 2025.9.29~10.24"
2026,,서경대학교,Seokyeong University,서울특별시,,4,Y,3649000,4791000,소프트웨어학과 (Department of Software) / 컴퓨터공학과 (Department of Computer Engineering),외국인 한국어(TOPIK) 우수장학금: TOPIK 2→등록금 10% (외 4단계),2026학년도 재외국민과 외국인 (실제 2026)
2026,,청운대학교,Chungwoon University,충청남도,5.5,2,Y,3310500,4360500,뮤직트레이너학과 (Department of Music Trainer) / 컴퓨터공학과 (Department of Computer Engineering),"외국인 장학금(언어성적별 학비 감면): TOEFL IELTS 8.0 / TOEFL iBT 112→80% 학비 감면 (외 9단계) / 외국인 장학금(대학원 입학 첫 학기 TOPIK): TOPIK 2, 3급→20% 학비 감면 (외 1단계)","2026학년도 부모모두외국인 (실제 2026), 원서접수 2026.3/2026.9"
2026,,한국성서대학교,KBU University,서울특별시,,4,,,,AI융합학부 (School of AI Convergence),,"2026학년도 재외국민과 외국인 (실제 2026), 원서접수 2025.9.8~10.17"
2026,,한국항공대학교,Korea Aerospace University,경기도,5.5,3,Y,3923000,5032000,AI자율주행시스템공학과 (Department of AI Autonomous Driving Systems Engineering) / 컴퓨터공학과 (Department of Computer Engineering) / 소프트웨어학과 (Department of Software),한국어 성적 우수자 장학금(Korean track): TOPIK 6급→첫학기 등록금 70% (외 3단계) / 영어 성적 우수자 장학금(English track): TOEFL iBT 96 이상 또는 IELTS 7.0 이상→첫학기 등록금 100% (외 2단계),"2026학년도 재외국민과 외국인 (실제 2026), 원서접수 2025.9.22~10.15"
2026,,한림대학교,Hallym University,강원도,5.5,2,Y,3575800,4644800,소프트웨어학부 (School of Software) / 인공지능융합학부 (School of Artificial Intelligence Convergence) / 데이터사이언스학부 (School of Data Science),순수 외국인 전형 외국인 신(편)입생 장학금(한국어트랙): TOPIK 6급→80% 감면 (외 4단계),"2026학년도 재외국민및외국인 (실제 2026), 원서접수 2025.11.17~12.23"
